tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
LOG_TA001;Completar historia logopédica inicial;Formulario sobre motivo de consulta, desarrollo, antecedentes, entorno, colegio/trabajo y objetivos.;Definir punto de partida y prioridades.;bajo;20-30 min;LOG_T001
LOG_TA002;Registrar situaciones comunicativas difíciles;Anotar situaciones donde hablar/comprender/tragar resulta más difícil.;Identificar contexto funcional.;bajo;7 días;LOG_T001
LOG_TA003;Grabar muestra breve de habla;Grabar 1-2 minutos de habla espontánea o lectura según indicación profesional.;Analizar inteligibilidad y evolución.;medio;5 min;LOG_T001
LOG_TA004;Lista de objetivos funcionales;Elegir 2-3 objetivos comunicativos reales para casa, colegio o trabajo.;Orientar intervención a participación.;bajo;15 min;LOG_T001
LOG_TA005;Práctica de fonema en sílabas;Repetir el fonema objetivo en sílabas directas/inversas.;Automatizar producción inicial.;bajo;10 min/día;LOG_T002
LOG_TA006;Práctica de fonema en palabras;Practicar listas de palabras con el sonido objetivo en distintas posiciones.;Generalizar articulación en palabras.;bajo;10 min/día;LOG_T002
LOG_TA007;Práctica de fonema en frases;Usar palabras objetivo dentro de frases cortas.;Generalizar a habla estructurada.;bajo;10 min/día;LOG_T002
LOG_TA008;Generalización en conversación;Usar el sonido trabajado en conversación breve supervisada.;Transferir a habla espontánea.;medio;5-10 min/día;LOG_T002
LOG_TA009;Pares mínimos;Escuchar, identificar y producir pares de palabras que contrastan sonidos.;Mejorar discriminación y contraste fonológico.;bajo;10 min/día;LOG_T003
LOG_TA010;Detectar errores propios;Escuchar una producción y marcar si el sonido fue correcto o no.;Aumentar conciencia fonológica/articulatoria.;medio;10 min/día;LOG_T003
LOG_TA011;Juego de contrastes fonológicos;Clasificar imágenes/palabras según contraste fonológico trabajado.;Reducir procesos fonológicos persistentes.;bajo;10-15 min/día;LOG_T004
LOG_TA012;Nombrar imágenes por categorías;Nombrar objetos o imágenes por campos semánticos.;Ampliar vocabulario expresivo.;bajo;10-15 min/día;LOG_T005
LOG_TA013;Comprensión de instrucciones;Seguir instrucciones de 1-3 pasos adaptadas al nivel.;Mejorar comprensión oral.;bajo;10 min/día;LOG_T005
LOG_TA014;Juego de turnos con lenguaje;Realizar juego compartido con turnos y modelado de frases.;Estimular comunicación funcional.;bajo;10-15 min/día;LOG_T005
LOG_TA015;Expansión de frases en rutina;El adulto reformula y amplía frases del niño durante comida, baño o juego.;Estimular lenguaje natural.;bajo;diario;LOG_T006
LOG_TA016;Reformulación positiva;Responder al error con modelo correcto sin exigir repetición constante.;Aumentar exposición a lenguaje correcto.;bajo;diario;LOG_T006
LOG_TA017;Construcción de frases;Crear frases con sujeto-verbo-complemento usando imágenes.;Mejorar morfosintaxis.;bajo;10-15 min/día;LOG_T007
LOG_TA018;Trabajo de pronombres y verbos;Completar frases con pronombres, tiempos verbales o concordancia según objetivo.;Mejorar estructura gramatical.;medio;10 min/día;LOG_T007
LOG_TA019;Mapa semántico de palabras;Crear mapa con categoría, función, lugar, partes y asociaciones de una palabra.;Mejorar vocabulario y acceso léxico.;bajo;10-15 min;LOG_T008
LOG_TA020;Juego de descripciones;Describir un objeto sin decir su nombre para que otro lo adivine.;Mejorar semántica y expresión.;bajo;10 min/día;LOG_T008
LOG_TA021;Secuenciar historia en imágenes;Ordenar viñetas y contar qué ocurrió antes/después.;Mejorar narrativa y temporalidad.;bajo;10-15 min;LOG_T009
LOG_TA022;Relato con estructura;Contar una historia incluyendo personaje, lugar, problema, acción y final.;Mejorar coherencia narrativa.;bajo;10-15 min;LOG_T009
LOG_TA023;Habla lenta con pausas;Practicar lectura o conversación con pausas y ritmo reducido.;Mejorar fluidez y control del habla.;medio;10 min/día;LOG_T010
LOG_TA024;Inicio suave;Practicar inicios suaves de palabras o frases seleccionadas.;Reducir tensión en inicio de habla.;medio;10 min/día;LOG_T010
LOG_TA025;Registro de disfluencias;Registrar situación, emoción, frecuencia percibida y estrategia usada.;Detectar patrones de fluidez.;medio;7 días;LOG_T010
LOG_TA026;Exposición comunicativa graduada;Realizar una situación comunicativa pactada de menor a mayor dificultad.;Reducir evitación comunicativa.;medio;1-3 veces/semana;LOG_T011
LOG_TA027;Plan de higiene vocal;Aplicar hidratación, descanso vocal y reducción de gritos/carraspeo.;Reducir sobrecarga vocal.;bajo;7-14 días;LOG_T012
LOG_TA028;Diario vocal;Registrar uso vocal, fatiga, ronquera, hidratación y desencadenantes.;Detectar patrones de disfonía.;bajo;7 días;LOG_T012
LOG_TA029;Ejercicios de emisión suave;Practicar emisión vocal suave o resonante según pauta profesional.;Mejorar eficiencia vocal.;medio;5-10 min/día;LOG_T013
LOG_TA030;Respiración costo-diafragmática funcional;Practicar respiración coordinada con voz o habla según indicación.;Apoyar técnica vocal/habla.;bajo;5 min/día;LOG_T013
LOG_TA031;Praxias linguales pautadas;Realizar movimientos linguales específicos si están indicados.;Mejorar conciencia/movilidad orofacial.;bajo;5 min/día;LOG_T014
LOG_TA032;Praxias labiales pautadas;Realizar movimientos labiales específicos si están indicados.;Mejorar coordinación orofacial.;bajo;5 min/día;LOG_T014
LOG_TA033;Conciencia de postura lingual;Observar y registrar posición de lengua en reposo según indicación profesional.;Mejorar conciencia orofacial.;medio;7 días;LOG_T015
LOG_TA034;Pauta de deglución segura;Aplicar recomendaciones de postura, ritmo, consistencia o supervisión indicadas.;Aumentar seguridad y eficiencia deglutoria.;alto;supervisado;LOG_T016
LOG_TA035;Registro de tos/atragantamiento;Registrar episodios, alimentos, líquidos, postura y contexto.;Detectar riesgos de deglución.;alto;7 días;LOG_T016
LOG_TA036;Ejercicios de rimas;Identificar y producir palabras que riman.;Mejorar conciencia fonológica.;bajo;10 min/día;LOG_T017
LOG_TA037;Segmentación silábica;Separar palabras en sílabas con palmadas o fichas.;Mejorar conciencia silábica.;bajo;10 min/día;LOG_T017
