problema_id;tecnica_id
NUT_P001;NUT_T001
NUT_P001;NUT_T002
NUT_P001;NUT_T004
NUT_P001;NUT_T005
NUT_P001;NUT_T006
NUT_P001;NUT_T007
NUT_P001;NUT_T008
NUT_P001;NUT_T014
NUT_P001;NUT_T018
NUT_P001;NUT_T019
NUT_P002;NUT_T002
NUT_P002;NUT_T006
NUT_P002;NUT_T007
NUT_P002;NUT_T014
NUT_P002;NUT_T018
NUT_P002;NUT_T019
NUT_P003;NUT_T001
NUT_P003;NUT_T002
NUT_P003;NUT_T006
NUT_P003;NUT_T009
NUT_P003;NUT_T017
NUT_P003;NUT_T018
NUT_P004;NUT_T001
NUT_P004;NUT_T002
NUT_P004;NUT_T004
NUT_P004;NUT_T005
NUT_P004;NUT_T006
NUT_P004;NUT_T007
NUT_P004;NUT_T008
NUT_P004;NUT_T014
NUT_P004;NUT_T018
NUT_P004;NUT_T019
NUT_P004;NUT_T020
NUT_P005;NUT_T001
NUT_P005;NUT_T002
NUT_P005;NUT_T004
NUT_P005;NUT_T005
NUT_P005;NUT_T010
NUT_P005;NUT_T016
NUT_P005;NUT_T017
NUT_P005;NUT_T019
NUT_P005;NUT_T020
NUT_P006;NUT_T001
NUT_P006;NUT_T002
NUT_P006;NUT_T004
NUT_P006;NUT_T005
NUT_P006;NUT_T006
NUT_P006;NUT_T010
NUT_P006;NUT_T017
NUT_P006;NUT_T019
NUT_P007;NUT_T001
NUT_P007;NUT_T002
NUT_P007;NUT_T016
NUT_P007;NUT_T020
NUT_P008;NUT_T001
NUT_P008;NUT_T002
NUT_P008;NUT_T004
NUT_P008;NUT_T010
NUT_P008;NUT_T011
NUT_P008;NUT_T018
NUT_P008;NUT_T019
NUT_P009;NUT_T001
NUT_P009;NUT_T002
NUT_P009;NUT_T004
NUT_P009;NUT_T012
NUT_P009;NUT_T013
NUT_P009;NUT_T018
NUT_P009;NUT_T019
NUT_P010;NUT_T001
NUT_P010;NUT_T002
NUT_P010;NUT_T004
NUT_P010;NUT_T005
NUT_P010;NUT_T010
NUT_P010;NUT_T011
NUT_P010;NUT_T012
NUT_P010;NUT_T017
NUT_P010;NUT_T019
NUT_P011;NUT_T001
NUT_P011;NUT_T002
NUT_P011;NUT_T003
NUT_P011;NUT_T010
NUT_P011;NUT_T013
NUT_P011;NUT_T017
NUT_P012;NUT_T001
NUT_P012;NUT_T003
NUT_P012;NUT_T004
NUT_P012;NUT_T019
NUT_P012;NUT_T020
NUT_P013;NUT_T001
NUT_P013;NUT_T002
NUT_P013;NUT_T003
NUT_P013;NUT_T004
NUT_P013;NUT_T019
NUT_P013;NUT_T020
NUT_P014;NUT_T001
NUT_P014;NUT_T002
NUT_P014;NUT_T006
NUT_P014;NUT_T009
NUT_P014;NUT_T013
NUT_P014;NUT_T017
NUT_P015;NUT_T001
NUT_P015;NUT_T002
NUT_P015;NUT_T006
NUT_P015;NUT_T013
NUT_P015;NUT_T017
NUT_P016;NUT_T002
NUT_P016;NUT_T006
NUT_P016;NUT_T009
NUT_P016;NUT_T013
NUT_P016;NUT_T017
NUT_P017;NUT_T001
NUT_P017;NUT_T002
NUT_P017;NUT_T009
NUT_P017;NUT_T013
NUT_P017;NUT_T018
NUT_P017;NUT_T020
NUT_P018;NUT_T001
NUT_P018;NUT_T013
NUT_P018;NUT_T020
NUT_P019;NUT_T001
NUT_P019;NUT_T002
NUT_P019;NUT_T009
NUT_P019;NUT_T013
NUT_P019;NUT_T017
NUT_P019;NUT_T018
NUT_P019;NUT_T020
NUT_P020;NUT_T004
NUT_P020;NUT_T005
NUT_P020;NUT_T006
NUT_P020;NUT_T007
NUT_P020;NUT_T014
NUT_P021;NUT_T004
NUT_P022;NUT_T006
NUT_P022;NUT_T007
NUT_P022;NUT_T014
NUT_P022;NUT_T019
NUT_P023;NUT_T002
NUT_P023;NUT_T007
NUT_P023;NUT_T014
NUT_P023;NUT_T015
NUT_P023;NUT_T019
NUT_P023;NUT_T020
NUT_P024;NUT_T002
NUT_P024;NUT_T006
NUT_P024;NUT_T007
NUT_P024;NUT_T014
NUT_P024;NUT_T015
NUT_P025;NUT_T002
NUT_P025;NUT_T006
NUT_P025;NUT_T007
NUT_P025;NUT_T014
NUT_P025;NUT_T019
