recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
SEX_R0001;SEX_P001;SEX_T001;SEX_TA001;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0002;SEX_P001;SEX_T001;SEX_TA002;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0003;SEX_P001;SEX_T002;SEX_TA003;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0004;SEX_P001;SEX_T002;SEX_TA056;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0005;SEX_P001;SEX_T003;SEX_TA004;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0006;SEX_P001;SEX_T036;SEX_TA037;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0007;SEX_P001;SEX_T043;SEX_TA045;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0008;SEX_P001;SEX_T045;SEX_TA047;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0009;SEX_P002;SEX_T001;SEX_TA001;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0010;SEX_P002;SEX_T001;SEX_TA002;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0011;SEX_P002;SEX_T002;SEX_TA003;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
SEX_R0012;SEX_P002;SEX_T002;SEX_TA056;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
