exercise_id;bodymuscles_id;role;intensity
FIT_EX001;chest-upper-left;primary;100
FIT_EX001;chest-upper-right;primary;100
FIT_EX001;chest-lower-left;primary;100
FIT_EX001;chest-lower-right;primary;100
FIT_EX001;triceps-long-left;secondary;65
FIT_EX001;triceps-lateral-left;secondary;65
FIT_EX001;triceps-long-right;secondary;65
FIT_EX001;triceps-lateral-right;secondary;65
FIT_EX001;shoulder-front-left;secondary;65
FIT_EX001;shoulder-front-right;secondary;65
FIT_EX001;abs-upper-left;stabilizer;35
FIT_EX001;abs-upper-right;stabilizer;35
FIT_EX001;abs-lower-left;stabilizer;35
FIT_EX001;abs-lower-right;stabilizer;35
FIT_EX002;chest-upper-left;primary;100
FIT_EX002;chest-upper-right;primary;100
FIT_EX002;chest-lower-left;primary;100
FIT_EX002;chest-lower-right;primary;100
FIT_EX002;triceps-long-left;secondary;65
FIT_EX002;triceps-lateral-left;secondary;65
FIT_EX002;triceps-long-right;secondary;65
FIT_EX002;triceps-lateral-right;secondary;65
FIT_EX002;shoulder-front-left;secondary;65
FIT_EX002;shoulder-front-right;secondary;65
FIT_EX003;chest-upper-left;primary;100
FIT_EX003;chest-upper-right;primary;100
FIT_EX003;shoulder-front-left;secondary;65
FIT_EX003;shoulder-front-right;secondary;65
FIT_EX003;triceps-long-left;secondary;65
FIT_EX003;triceps-long-right;secondary;65
FIT_EX004;chest-upper-left;primary;100
FIT_EX004;chest-upper-right;primary;100
FIT_EX004;chest-lower-left;primary;100
FIT_EX004;chest-lower-right;primary;100
FIT_EX004;shoulder-front-left;secondary;65
FIT_EX004;shoulder-front-right;secondary;65
FIT_EX005;chest-upper-left;primary;100
FIT_EX005;chest-upper-right;primary;100
FIT_EX005;chest-lower-left;primary;100
FIT_EX005;chest-lower-right;primary;100
FIT_EX005;triceps-long-left;secondary;65
FIT_EX005;triceps-long-right;secondary;65
FIT_EX005;shoulder-front-left;secondary;65
FIT_EX005;shoulder-front-right;secondary;65
FIT_EX006;lats-upper-left;primary;100
FIT_EX006;lats-mid-left;primary;100
FIT_EX006;lats-lower-left;primary;100
FIT_EX006;lats-upper-right;primary;100
FIT_EX006;lats-mid-right;primary;100
FIT_EX006;lats-lower-right;primary;100
FIT_EX006;biceps-left;secondary;65
FIT_EX006;biceps-right;secondary;65
FIT_EX006;forearm-left;secondary;65
FIT_EX006;forearm-right;secondary;65
FIT_EX006;traps-mid-left;secondary;65
FIT_EX006;traps-mid-right;secondary;65
FIT_EX007;lats-upper-left;primary;100
FIT_EX007;lats-mid-left;primary;100
FIT_EX007;lats-lower-left;primary;100
FIT_EX007;lats-upper-right;primary;100
FIT_EX007;lats-mid-right;primary;100
FIT_EX007;lats-lower-right;primary;100
FIT_EX007;biceps-left;secondary;65
FIT_EX007;biceps-right;secondary;65
FIT_EX007;traps-mid-left;secondary;65
FIT_EX007;traps-mid-right;secondary;65
FIT_EX008;lats-mid-left;primary;100
FIT_EX008;lats-mid-right;primary;100
FIT_EX008;traps-mid-left;primary;100
