problema_id;area_id;nombre;alias;descripcion;poblacion;nivel_riesgo;fuente_ids
TO_P001;TO_A001;Dificultad para vestirse;Vestido;Limitación para elegir ropa, ponerse/quitarse prendas, botones, cremalleras o calzado.;Adultos/Mayores/Pediatría;medio;"TO_SRC001;TO_SRC011"
TO_P002;TO_A001;Dificultad para baño e higiene;Baño/aseo;Dificultad para ducharse, lavarse, secarse o mantener seguridad en baño.;Adultos/Mayores;alto;"TO_SRC001;TO_SRC011"
TO_P003;TO_A001;Dificultad para alimentación;Comer/beber;Dificultad para usar cubiertos, cortar alimentos o llevar comida a la boca.;Adultos/Mayores/Pediatría;medio;"TO_SRC001;TO_SRC011"
TO_P004;TO_A001;Dificultad para aseo personal;Grooming;Limitación en peinarse, lavarse dientes, afeitarse o cuidado personal.;Adultos/Mayores/Pediatría;bajo;"TO_SRC001;TO_SRC011"
TO_P005;TO_A001;Dificultad en uso del WC;Toileting;Limitación para transferirse, gestionar ropa, higiene y seguridad en baño.;Adultos/Mayores;alto;"TO_SRC001;TO_SRC011"
TO_P006;TO_A002;Dificultad para cocinar;Preparación de comidas;Limitación para planificar, preparar, cocinar y recoger con seguridad.;Adultos/Mayores;medio;"TO_SRC001;TO_SRC012"
TO_P007;TO_A002;Dificultad para compras;Compras/comunidad;Problemas para planificar lista, desplazarse, elegir productos, pagar y regresar.;Adultos/Mayores;medio;"TO_SRC001;TO_SRC012"
TO_P008;TO_A002;Dificultad en manejo de medicación;Medicación;Dificultad para organizar, recordar o tomar medicación según pauta indicada.;Adultos/Mayores;alto;"TO_SRC001;TO_SRC012"
TO_P009;TO_A002;Dificultad en gestión del hogar;Tareas domésticas;Limitación para limpieza, lavandería, organización y mantenimiento básico.;Adultos/Mayores;medio;"TO_SRC001;TO_SRC012"
TO_P010;TO_A002;Dificultad para transporte/comunidad;Movilidad comunitaria;Limitación para usar transporte, orientarse o desplazarse seguro en comunidad.;Adultos/Mayores;medio;"TO_SRC001;TO_SRC006"
TO_P011;TO_A003;Dificultad en transferencias;Transferencias;Problemas para pasar cama-silla, silla-WC, ducha o coche con seguridad.;Adultos/Mayores;alto;"TO_SRC001;TO_SRC006"
TO_P012;TO_A003;Riesgo de caídas en actividades cotidianas;Caídas;Riesgo durante baño, vestido, desplazamientos, cocina o comunidad.;Adultos/Mayores;alto;"TO_SRC001;TO_SRC006"
TO_P013;TO_A003;Baja tolerancia a la actividad;Resistencia funcional;Fatiga o baja resistencia para completar rutinas diarias.;Adultos/Mayores;medio;"TO_SRC006;TO_SRC005"
TO_P014;TO_A004;Dificultad de agarre y manipulación;Destreza manual;Problemas para coger objetos, abrir envases, abotonar, escribir o usar herramientas.;Adultos/Mayores/Pediatría;medio;TO_SRC001
TO_P015;TO_A004;Dificultad de coordinación bimanual;Uso de ambas manos;Limitación para tareas que requieren cooperación de ambas manos.;Adultos/Pediatría;medio;TO_SRC001
TO_P016;TO_A004;Limitación funcional de extremidad superior;Uso funcional brazo/mano;Limitación de alcance, carga, manipulación o uso del brazo en ocupaciones.;Adultos/Mayores;medio;"TO_SRC001;TO_SRC007"
TO_P017;TO_A004;Dificultad de escritura funcional;Grafomotricidad/escritura;Problemas para escribir de forma legible, funcional o sostenida.;Pediatría/Adultos;bajo;TO_SRC001
TO_P018;TO_A005;Dificultad de memoria funcional;Memoria cotidiana;Olvidos que afectan medicación, citas, tareas, seguridad o rutinas.;Adultos/Mayores;medio;"TO_SRC006;TO_SRC008"
