routine_id;day_label;order_num;exercise_id;sets;reps;rest_seconds;notes
FIT_RUT001;Día 1;1;FIT_EX041;3;8-12;90;
FIT_RUT001;Día 1;2;FIT_EX001;3;8-15;75;
FIT_RUT001;Día 1;3;FIT_EX043;3;10-15;75;
FIT_RUT001;Día 1;4;FIT_EX039;3;10-15;75;
FIT_RUT001;Día 1;5;FIT_EX033;3;30-45s;60;
FIT_RUT001;Día 2;1;FIT_EX053;3;10-15;75;
FIT_RUT001;Día 2;2;FIT_EX005;3;8-12;90;
FIT_RUT001;Día 2;3;FIT_EX007;3;10-12;90;
FIT_RUT001;Día 2;4;FIT_EX040;3;8-12/cada pierna;75;
FIT_RUT001;Día 2;5;FIT_EX036;3;12-20;60;
FIT_RUT001;Día 3;1;FIT_EX041;3;8-12;90;
FIT_RUT001;Día 3;2;FIT_EX001;3;8-15;75;
FIT_RUT001;Día 3;3;FIT_EX043;3;10-15;75;
FIT_RUT001;Día 3;4;FIT_EX039;3;10-15;75;
FIT_RUT001;Día 3;5;FIT_EX033;3;30-45s;60;
FIT_RUT002;Torso A;1;FIT_EX002;4;6-10;120;
FIT_RUT002;Torso A;2;FIT_EX009;4;8-12;90;
FIT_RUT002;Torso A;3;FIT_EX011;3;6-10;120;
FIT_RUT002;Torso A;4;FIT_EX007;3;8-12;90;
FIT_RUT002;Torso A;5;FIT_EX016;3;10-12;60;
FIT_RUT002;Torso A;6;FIT_EX018;3;10-12;60;
FIT_RUT002;Pierna A;1;FIT_EX022;4;6-10;150;
FIT_RUT002;Pierna A;2;FIT_EX026;4;8-10;120;
FIT_RUT002;Pierna A;3;FIT_EX024;3;10-12;90;
FIT_RUT002;Pierna A;4;FIT_EX030;3;10-15;75;
FIT_RUT002;Pierna A;5;FIT_EX031;4;10-15;60;
FIT_RUT002;Pierna A;6;FIT_EX033;3;45-60s;60;
FIT_RUT002;Torso B;1;FIT_EX002;4;6-10;120;
FIT_RUT002;Torso B;2;FIT_EX009;4;8-12;90;
FIT_RUT002;Torso B;3;FIT_EX011;3;6-10;120;
FIT_RUT002;Torso B;4;FIT_EX007;3;8-12;90;
FIT_RUT002;Torso B;5;FIT_EX016;3;10-12;60;
FIT_RUT002;Torso B;6;FIT_EX018;3;10-12;60;
FIT_RUT002;Pierna B;1;FIT_EX022;4;6-10;150;
FIT_RUT002;Pierna B;2;FIT_EX026;4;8-10;120;
FIT_RUT002;Pierna B;3;FIT_EX024;3;10-12;90;
FIT_RUT002;Pierna B;4;FIT_EX030;3;10-15;75;
FIT_RUT002;Pierna B;5;FIT_EX031;4;10-15;60;
FIT_RUT002;Pierna B;6;FIT_EX033;3;45-60s;60;
FIT_RUT003;Push 1;1;FIT_EX002;4;6-10;120;
FIT_RUT003;Push 1;2;FIT_EX003;3;8-12;90;
FIT_RUT003;Push 1;3;FIT_EX012;4;12-20;60;
FIT_RUT003;Push 1;4;FIT_EX051;3;8-12;90;
FIT_RUT003;Push 1;5;FIT_EX018;3;10-15;60;
FIT_RUT003;Pull 1;1;FIT_EX006;4;6-10;120;
FIT_RUT003;Pull 1;2;FIT_EX008;4;6-10;120;
FIT_RUT003;Pull 1;3;FIT_EX014;3;12-20;60;
FIT_RUT003;Pull 1;4;FIT_EX016;3;8-12;60;
FIT_RUT003;Pull 1;5;FIT_EX017;3;10-12;60;
FIT_RUT003;Legs 1;1;FIT_EX022;4;6-10;150;
FIT_RUT003;Legs 1;2;FIT_EX027;4;8-12;120;
FIT_RUT003;Legs 1;3;FIT_EX028;3;8-12/cada pierna;90;
FIT_RUT003;Legs 1;4;FIT_EX030;3;10-15;75;
FIT_RUT003;Legs 1;5;FIT_EX031;4;12-20;60;
FIT_RUT003;Push 2;1;FIT_EX002;4;6-10;120;
FIT_RUT003;Push 2;2;FIT_EX003;3;8-12;90;
FIT_RUT003;Push 2;3;FIT_EX012;4;12-20;60;
FIT_RUT003;Push 2;4;FIT_EX051;3;8-12;90;
FIT_RUT003;Push 2;5;FIT_EX018;3;10-15;60;
FIT_RUT003;Pull 2;1;FIT_EX006;4;6-10;120;
FIT_RUT003;Pull 2;2;FIT_EX008;4;6-10;120;
FIT_RUT003;Pull 2;3;FIT_EX014;3;12-20;60;
