problema_id;tecnica_id
FIT2_P001;FIT2_T001
FIT2_P001;FIT2_T002
FIT2_P001;FIT2_T003
FIT2_P001;FIT2_T015
FIT2_P001;FIT2_T023
FIT2_P001;FIT2_T024
FIT2_P001;FIT2_T035
FIT2_P001;FIT2_T037
FIT2_P001;FIT2_T040
FIT2_P001;FIT2_T053
FIT2_P002;FIT2_T001
FIT2_P002;FIT2_T002
FIT2_P002;FIT2_T003
FIT2_P002;FIT2_T015
FIT2_P002;FIT2_T023
FIT2_P002;FIT2_T024
FIT2_P002;FIT2_T035
FIT2_P002;FIT2_T037
FIT2_P002;FIT2_T040
FIT2_P002;FIT2_T053
FIT2_P003;FIT2_T001
FIT2_P003;FIT2_T002
FIT2_P003;FIT2_T003
FIT2_P003;FIT2_T015
FIT2_P003;FIT2_T023
FIT2_P003;FIT2_T024
FIT2_P003;FIT2_T035
FIT2_P003;FIT2_T037
FIT2_P003;FIT2_T040
FIT2_P003;FIT2_T053
FIT2_P004;FIT2_T001
FIT2_P004;FIT2_T002
FIT2_P004;FIT2_T003
FIT2_P004;FIT2_T015
FIT2_P004;FIT2_T023
FIT2_P004;FIT2_T024
FIT2_P004;FIT2_T035
FIT2_P004;FIT2_T037
FIT2_P004;FIT2_T040
FIT2_P004;FIT2_T053
FIT2_P005;FIT2_T001
FIT2_P005;FIT2_T002
FIT2_P005;FIT2_T003
FIT2_P005;FIT2_T015
FIT2_P005;FIT2_T023
FIT2_P005;FIT2_T024
FIT2_P005;FIT2_T035
FIT2_P005;FIT2_T037
FIT2_P005;FIT2_T040
FIT2_P005;FIT2_T053
FIT2_P006;FIT2_T001
FIT2_P006;FIT2_T002
FIT2_P006;FIT2_T003
FIT2_P006;FIT2_T015
FIT2_P006;FIT2_T023
FIT2_P006;FIT2_T024
FIT2_P006;FIT2_T035
FIT2_P006;FIT2_T037
FIT2_P006;FIT2_T040
FIT2_P006;FIT2_T053
FIT2_P007;FIT2_T004
FIT2_P007;FIT2_T005
FIT2_P007;FIT2_T006
FIT2_P007;FIT2_T007
FIT2_P007;FIT2_T008
FIT2_P007;FIT2_T009
FIT2_P007;FIT2_T032
FIT2_P007;FIT2_T035
FIT2_P007;FIT2_T036
FIT2_P007;FIT2_T051
FIT2_P007;FIT2_T055
FIT2_P007;FIT2_T056
FIT2_P008;FIT2_T004
FIT2_P008;FIT2_T005
FIT2_P008;FIT2_T006
FIT2_P008;FIT2_T007
FIT2_P008;FIT2_T008
FIT2_P008;FIT2_T009
FIT2_P008;FIT2_T032
FIT2_P008;FIT2_T035
FIT2_P008;FIT2_T036
FIT2_P008;FIT2_T051
FIT2_P008;FIT2_T055
FIT2_P008;FIT2_T056
FIT2_P009;FIT2_T004
FIT2_P009;FIT2_T005
FIT2_P009;FIT2_T006
FIT2_P009;FIT2_T007
FIT2_P009;FIT2_T008
FIT2_P009;FIT2_T009
FIT2_P009;FIT2_T032
FIT2_P009;FIT2_T035
FIT2_P009;FIT2_T036
FIT2_P009;FIT2_T051
FIT2_P009;FIT2_T055
FIT2_P009;FIT2_T056
FIT2_P010;FIT2_T004
FIT2_P010;FIT2_T005
FIT2_P010;FIT2_T006
FIT2_P010;FIT2_T007
FIT2_P010;FIT2_T008
FIT2_P010;FIT2_T009
FIT2_P010;FIT2_T032
FIT2_P010;FIT2_T035
FIT2_P010;FIT2_T036
FIT2_P010;FIT2_T051
FIT2_P010;FIT2_T055
FIT2_P010;FIT2_T056
FIT2_P011;FIT2_T004
FIT2_P011;FIT2_T005
FIT2_P011;FIT2_T006
FIT2_P011;FIT2_T007
FIT2_P011;FIT2_T008
FIT2_P011;FIT2_T009
FIT2_P011;FIT2_T032
FIT2_P011;FIT2_T035
FIT2_P011;FIT2_T036
FIT2_P011;FIT2_T051
FIT2_P011;FIT2_T055
FIT2_P011;FIT2_T056
FIT2_P012;FIT2_T004
FIT2_P012;FIT2_T005
FIT2_P012;FIT2_T006
FIT2_P012;FIT2_T007
FIT2_P012;FIT2_T008
FIT2_P012;FIT2_T009
FIT2_P012;FIT2_T032
FIT2_P012;FIT2_T035
FIT2_P012;FIT2_T036
