recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
NUT_R0001;NUT_P001;NUT_T001;NUT_TA001;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0002;NUT_P001;NUT_T002;NUT_TA002;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0003;NUT_P001;NUT_T002;NUT_TA003;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0004;NUT_P001;NUT_T004;NUT_TA027;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0005;NUT_P001;NUT_T005;NUT_TA005;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0006;NUT_P001;NUT_T006;NUT_TA006;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0007;NUT_P001;NUT_T006;NUT_TA007;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0008;NUT_P001;NUT_T006;NUT_TA029;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0009;NUT_P001;NUT_T007;NUT_TA008;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0010;NUT_P001;NUT_T008;NUT_TA009;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0011;NUT_P001;NUT_T014;NUT_TA016;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0012;NUT_P001;NUT_T018;NUT_TA022;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0013;NUT_P001;NUT_T019;NUT_TA023;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0014;NUT_P001;NUT_T019;NUT_TA024;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0015;NUT_P001;NUT_T019;NUT_TA030;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0016;NUT_P002;NUT_T002;NUT_TA002;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0017;NUT_P002;NUT_T002;NUT_TA003;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0018;NUT_P002;NUT_T006;NUT_TA006;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0019;NUT_P002;NUT_T006;NUT_TA007;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0020;NUT_P002;NUT_T006;NUT_TA029;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0021;NUT_P002;NUT_T007;NUT_TA008;alta;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0022;NUT_P002;NUT_T014;NUT_TA016;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0023;NUT_P002;NUT_T018;NUT_TA022;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0024;NUT_P002;NUT_T019;NUT_TA023;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0025;NUT_P002;NUT_T019;NUT_TA024;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
NUT_R0026;NUT_P002;NUT_T019;NUT_TA030;media;El profesional debe adaptar la pauta a historia clínica, preferencias, medicación, patología y objetivos.
