AREA;PROBLEMA;ALIAS;RIESGO_PROBLEMA;TECNICA;TAREA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_CLINICA
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Psicoeducación;Leer explicación básica del problema;Leer una ficha psicoeducativa adaptada sobre el problema seleccionado.;Comprender el problema y reducir miedo o confusión inicial.;bajo;10-20 min;alta;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Psicoeducación;Dibujar el ciclo del problema;Completar un esquema de ciclo: situación, pensamiento, emoción, sensación, conducta y consecuencia.;Identificar mecanismos de mantenimiento.;bajo;15-30 min;alta;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro diario de síntomas;Registrar intensidad, duración, situación y respuesta ante síntomas relevantes.;Aumentar conciencia y facilitar análisis clínico.;bajo;7 días;alta;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro de emociones;Anotar emoción, intensidad, desencadenante, pensamiento asociado y conducta realizada.;Mejorar identificación emocional.;bajo;7 días;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro de ataques de pánico;Registrar síntomas, pensamientos, conducta y evolución temporal de cada crisis.;Comprender patrón de pánico.;medio;cada episodio;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro de obsesiones y compulsiones;Anotar obsesión, ansiedad, compulsión, alivio y coste a largo plazo.;Identificar mapa TOC.;medio;7 días;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro de preocupaciones nocturnas;Anotar preocupaciones antes de dormir y posponer resolución al día siguiente.;Reducir rumiación nocturna.;bajo;7 días;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Autorregistro;Registro de energía;Registrar actividades que consumen o recargan energía.;Detectar patrones de burnout.;bajo;7 días;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Respiración diafragmática;Respiración diafragmática diaria;Practicar respiración lenta abdominal durante 10 minutos.;Reducir activación fisiológica.;bajo;10 min/día;alta;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
Ansiedad;Ansiedad generalizada;TAG / preocupación excesiva;medio;Respiración diafragmática;Plan personal ante crisis de pánico;Crear una tarjeta con pasos de afrontamiento durante una crisis.;Aumentar sensación de control.;bajo;20 min;media;"SRC001;SRC007;SRC008";El profesional debe adaptar la tarea al caso, fase terapéutica y nivel de riesgo.
