tecnica_id;nombre;descripcion;nivel_riesgo;tipo_intervencion;fuente_ids
SEX_T001;Psicoeducación sexual basada en evidencia;Explicar sexualidad, respuesta sexual, variabilidad, placer, consentimiento y seguridad sin patologizar.;bajo;educativa;"SEX_SRC001;SEX_SRC002;SEX_SRC010"
SEX_T002;Modelo biopsicosocial sexual;Analizar factores físicos, psicológicos, relacionales, culturales y contextuales.;bajo;individual/pareja;"SEX_SRC010;SEX_SRC013"
SEX_T003;Historia sexual clínica estructurada;Recoger motivo, historia, salud, medicación, relación, dolor, seguridad y objetivos.;medio;clínica;"SEX_SRC010;SEX_SRC012"
SEX_T004;Cribado de seguridad, coerción y violencia;Explorar consentimiento, presión, miedo, violencia o riesgo antes de tareas de pareja.;alto;seguridad;"SEX_SRC001;SEX_SRC003;SEX_SRC005"
SEX_T005;Derivación médica/ginecológica/urológica;Indicar valoración médica ante dolor, cambios bruscos, síntomas físicos o sospecha orgánica.;alto;médica_derivación;"SEX_SRC006;SEX_SRC017;SEX_SRC013"
SEX_T006;Registro de deseo/excitación/contexto;Registrar contexto, emoción, estrés, descanso, conexión, deseo y respuesta.;bajo;individual/pareja;"SEX_SRC010;SEX_SRC012"
SEX_T007;Mapa de deseo;Identificar facilitadores, frenos, contextos, necesidades, fantasías no obligatorias y límites.;bajo;individual/pareja;"SEX_SRC010;SEX_SRC012"
SEX_T008;Trabajo con discrepancia de deseo;Negociar ritmos, expectativas, presión, iniciativa y alternativas de intimidad.;medio;pareja;"SEX_SRC010;SEX_SRC012"
SEX_T009;Plan de intimidad no exigente;Crear espacios de cercanía sin objetivo de rendimiento ni obligación sexual.;bajo;pareja;"SEX_SRC012;SEX_SRC010"
SEX_T010;Sensate focus / focalización sensorial;Ejercicios graduales de atención sensorial y contacto no exigente, adaptados y consentidos.;medio;pareja/individual;"SEX_SRC012;SEX_SRC010"
SEX_T011;Mindfulness aplicado a sexualidad;Entrenar atención al presente y reducción de autoobservación/juzgar.;bajo;individual;"SEX_SRC004;SEX_SRC014"
SEX_T012;Reestructuración de mitos sexuales;Identificar y flexibilizar creencias rígidas sobre deseo, cuerpo, orgasmo o rendimiento.;bajo;individual/pareja;"SEX_SRC010;SEX_SRC013"
SEX_T013;Terapia cognitivo-conductual sexual;Modificar ciclos de ansiedad, evitación, pensamientos y conductas de seguridad.;medio;individual/pareja;"SEX_SRC010;SEX_SRC004"
SEX_T014;Exposición gradual a intimidad;Acercamiento progresivo a situaciones evitadas, con consentimiento y seguridad.;medio;individual/pareja;"SEX_SRC004;SEX_SRC014"
SEX_T015;Prevención de respuesta a comprobaciones;Reducir chequeo de erección, lubricación, orgasmo, cuerpo o rendimiento.;medio;individual;"SEX_SRC004;SEX_SRC014"
SEX_T016;Entrenamiento en comunicación sexual;Practicar expresar preferencias, límites, dudas y acuerdos de manera clara.;bajo;pareja;"SEX_SRC003;SEX_SRC012"
SEX_T017;Asertividad y límites sexuales;Entrenar decir no, pedir pausa, pedir cambio y negociar límites.;medio;individual/pareja;"SEX_SRC003;SEX_SRC001"
SEX_T018;Contrato de consentimiento y acuerdos;Clarificar acuerdos, límites, señales de pausa y revisión mutua.;medio;pareja;"SEX_SRC003;SEX_SRC001"
SEX_T019;Trabajo con vergüenza sexual;Reducir evitación, autocrítica y secretos mediante validación y exposición gradual.;medio;individual;"SEX_SRC004;SEX_SRC010"
SEX_T020;Autocompasión corporal y sexual;Desarrollar trato interno respetuoso ante cuerpo, respuesta y dificultades.;bajo;individual;"SEX_SRC004;SEX_SRC010"
SEX_T021;Exploración corporal no exigente;Observación gradual del cuerpo sin presión, juicio ni objetivo sexual explícito.;medio;individual;"SEX_SRC010;SEX_SRC012"
SEX_T022;Trabajo de pareja centrado en intimidad;Reforzar conexión, afecto, cuidado, negociación y espacios compartidos.;bajo;pareja;"SEX_SRC012;SEX_SRC010"
