fuente_id;organismo;titulo;url;notas
OPO_SRC001;Institute of Education Sciences / What Works Clearinghouse;Practice Guides;https://ies.ed.gov/ncee/wwc/practiceguides;Guías prácticas basadas en evidencia, experiencia profesional y paneles expertos.
OPO_SRC002;Education Endowment Foundation;Metacognition and Self-Regulated Learning;https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/metacognition;Metacognición, autorregulación, planificación, monitorización y evaluación del aprendizaje.
OPO_SRC003;The Learning Scientists;Six Strategies for Effective Learning;https://www.learningscientists.org/blog/2017/4/20-1;Práctica espaciada, intercalado, elaboración, ejemplos concretos, codificación dual y recuperación.
OPO_SRC004;Madan 2023 / PMC;Using Evidence-Based Learning Strategies;https://pmc.ncbi.nlm.nih.gov/articles/PMC10368606/;Revisión de estrategias de aprendizaje basadas en evidencia.
OPO_SRC005;Thompson 2023;Spaced learning, interleaving, retrieval practice;https://www.jacr.org/article/S1546-1440%2823%2900646-4/fulltext;Estrategias para mejorar retención a largo plazo.
OPO_SRC006;Teachers College Columbia;Overcoming test anxiety;https://www.tc.columbia.edu/articles/2025/march/heres-how-students-can-overcome-test-anxiety/;Ansiedad ante exámenes, evitación, procrastinación y técnicas ineficaces como releer sin autoevaluar.
OPO_SRC007;Child Mind Institute;Tips for Beating Test Anxiety;https://childmind.org/article/tips-for-beating-test-anxiety/;Preparación, simulacros, formato de examen y estrategias para reducir ansiedad.
OPO_SRC008;Jirjees 2024 / PMC;Test anxiety and coping strategies among university students;https://pmc.ncbi.nlm.nih.gov/articles/PMC11519940/;Estrategias de afrontamiento de ansiedad ante exámenes.
OPO_SRC009;CAST;Universal Design for Learning Guidelines;https://udlguidelines.cast.org/;Adaptación de materiales, formatos y participación en aprendizaje.
OPO_SRC010;EEF PDF;Metacognition and Self-Regulated Learning Guidance Report;https://d2tic4wvo1iusb.cloudfront.net/production/eef-guidance-reports/metacognition/metacognition-and-self-regulated-learning_guidance-report.v.2.4.0.pdf;Guía práctica sobre autorregulación y metacognición.
