recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
FIS_R0001;FIS_P001;FIS_T001;FIS_TA001;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0002;FIS_P001;FIS_T001;FIS_TA002;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0003;FIS_P001;FIS_T001;FIS_TA003;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0004;FIS_P001;FIS_T002;FIS_TA004;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0005;FIS_P001;FIS_T002;FIS_TA005;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0006;FIS_P001;FIS_T002;FIS_TA027;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0007;FIS_P001;FIS_T004;FIS_TA006;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0008;FIS_P001;FIS_T004;FIS_TA007;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0009;FIS_P001;FIS_T005;FIS_TA008;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0010;FIS_P001;FIS_T005;FIS_TA009;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0011;FIS_P001;FIS_T005;FIS_TA025;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0012;FIS_P001;FIS_T009;FIS_TA014;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0013;FIS_P001;FIS_T009;FIS_TA015;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0014;FIS_P001;FIS_T010;FIS_TA016;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0015;FIS_P001;FIS_T014;FIS_TA017;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0016;FIS_P001;FIS_T014;FIS_TA018;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0022;FIS_P002;FIS_T001;FIS_TA001;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0023;FIS_P002;FIS_T001;FIS_TA002;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0024;FIS_P002;FIS_T001;FIS_TA003;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0025;FIS_P002;FIS_T002;FIS_TA004;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0026;FIS_P002;FIS_T002;FIS_TA005;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0027;FIS_P002;FIS_T002;FIS_TA027;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0028;FIS_P002;FIS_T004;FIS_TA006;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0029;FIS_P002;FIS_T004;FIS_TA007;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0030;FIS_P002;FIS_T009;FIS_TA014;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0031;FIS_P002;FIS_T009;FIS_TA015;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0032;FIS_P002;FIS_T014;FIS_TA017;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0033;FIS_P002;FIS_T014;FIS_TA018;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0034;FIS_P002;FIS_T018;FIS_TA028;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0035;FIS_P003;FIS_T001;FIS_TA001;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0036;FIS_P003;FIS_T001;FIS_TA002;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0037;FIS_P003;FIS_T001;FIS_TA003;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0038;FIS_P003;FIS_T002;FIS_TA004;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0039;FIS_P003;FIS_T002;FIS_TA005;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0040;FIS_P003;FIS_T002;FIS_TA027;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0041;FIS_P003;FIS_T004;FIS_TA006;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0042;FIS_P003;FIS_T004;FIS_TA007;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0043;FIS_P003;FIS_T005;FIS_TA008;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0044;FIS_P003;FIS_T005;FIS_TA009;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0045;FIS_P003;FIS_T005;FIS_TA025;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0046;FIS_P003;FIS_T014;FIS_TA017;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0047;FIS_P003;FIS_T014;FIS_TA018;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0048;FIS_P003;FIS_T017;FIS_TA020;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0049;FIS_P003;FIS_T017;FIS_TA021;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0050;FIS_P003;FIS_T018;FIS_TA028;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0051;FIS_P004;FIS_T001;FIS_TA001;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0052;FIS_P004;FIS_T001;FIS_TA002;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0053;FIS_P004;FIS_T001;FIS_TA003;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0054;FIS_P004;FIS_T002;FIS_TA004;alta;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0055;FIS_P004;FIS_T002;FIS_TA005;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0056;FIS_P004;FIS_T002;FIS_TA027;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0057;FIS_P004;FIS_T004;FIS_TA006;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
FIS_R0058;FIS_P004;FIS_T004;FIS_TA007;media;El fisioterapeuta debe adaptar la pauta a valoración, fase, irritabilidad, contraindicaciones y objetivos funcionales.
