fuente_id;organismo;titulo;url;notas
TO_SRC001;AOTA;Occupational Therapy Practice Framework: Domain and Process, 4th Edition;https://research.aota.org/ajot/article/74/Supplement_2/7412410010p1/8382/Occupational-Therapy-Practice-Framework-Domain-and;Marco profesional: ocupaciones, ADL/IADL, evaluación, intervención y resultados.
TO_SRC002;AOTA;Practice Guidelines and Evidence-Based Clinical Resources;https://www.aota.org/practice/practice-essentials/evidencebased-practiceknowledge-translation/practice-guidelines;Guías de práctica basadas en evidencia.
TO_SRC003;RCOT;Learn about occupational therapy;https://www.rcot.co.uk/learn-about-occupational-therapy;La terapia ocupacional ayuda a superar retos en tareas o actividades cotidianas.
TO_SRC004;RCOT;Resource centre;https://www.rcot.co.uk/explore-resources;Recursos profesionales para terapia ocupacional.
TO_SRC005;RCOT;Self-management;https://www.rcot.co.uk/explore-resources/ot-topics/self-management;Autogestión de ocupaciones diarias.
TO_SRC006;WHO;International Classification of Functioning, Disability and Health;https://www.who.int/standards/classifications/international-classification-of-functioning-disability-and-health;Funcionamiento, discapacidad, actividad, participación y factores ambientales.
TO_SRC007;National Clinical Guideline for Stroke;Communication and participation after stroke;https://www.strokeguideline.org/chapter/communication-and-language/;Recuperación funcional y participación tras ictus.
TO_SRC008;AJOT / AOTA;OT Practice Guidelines for adults with Alzheimer’s disease and related neurocognitive disorders;https://pmc.ncbi.nlm.nih.gov/articles/PMC10985123/;Intervenciones TO en Alzheimer y trastornos neurocognitivos.
TO_SRC009;RCOT;Practice guideline for dementia;https://www.rcot.co.uk/media/2818/download?attachment=;Guía de TO en demencia.
TO_SRC010;Rehabilitation Measures Database;ICF Measure of Participation and Activities Screener;https://www.sralab.org/rehabilitation-measures/icf-measure-participation-and-activities-screener;Medida de participación y actividades basada en ICF.
TO_SRC011;OT Centre;Difficulties with Activities of Daily Living;https://www.theotcentre.co.uk/difficulties-treated-with-occupational-therapy-and-si-therapy/difficulties-with-activities-of-daily-living;Ejemplos prácticos de dificultades ADL.
TO_SRC012;The OT Toolbox;Instrumental Activities of Daily Living;https://www.theottoolbox.com/instrumental-activities-of-daily-living/;Referencia divulgativa sobre IADL.
