area_id;nombre;descripcion
NUT2_A001;Educación nutricional básica;Hábitos, plato saludable, etiquetas, raciones, planificación y toma de decisiones alimentarias.
NUT2_A002;Pérdida de grasa y control de peso;Déficit sostenible, saciedad, adherencia, seguimiento y prevención de rebote.
NUT2_A003;Ganancia muscular y nutrición deportiva;Proteína, energía, timing, hidratación y apoyo al entrenamiento.
NUT2_A004;Recomposición corporal;Reducir grasa y preservar/ganar masa muscular mediante dieta, proteína y entrenamiento.
NUT2_A005;Salud metabólica;Prediabetes, diabetes tipo 2, resistencia a insulina, triglicéridos y hábitos cardiometabólicos.
NUT2_A006;Salud cardiovascular;Colesterol, hipertensión, sal, grasas, fibra, patrón mediterráneo y prevención.
NUT2_A007;Digestivo e intolerancias;Síntomas digestivos, fibra, FODMAP, lactosa, gluten/celiaquía y tolerancia individual.
NUT2_A008;Relación con la comida;Comer emocional, ansiedad por comida, atracones subjetivos, culpa, restricción y flexibilidad.
NUT2_A009;Planificación alimentaria;Menús, lista de compra, batch cooking, comidas fuera, turnos y organización.
NUT2_A010;Nutrición por etapas vitales;Infancia/adolescencia, embarazo, posparto, menopausia, mayores y envejecimiento.
NUT2_A011;Dietas especiales y preferencias;Vegetariana/vegana, sin gluten, sin lactosa, halal/kosher/cultural y adaptaciones.
NUT2_A012;Riesgo nutricional y derivación;Bajo peso, pérdida involuntaria, desnutrición, TCA, enfermedad y señales de alarma.
NUT2_A013;Hidratación y hábitos diarios;Agua, bebidas, alcohol, refrescos, cafeína y señales de hidratación.
NUT2_A014;Suplementación básica;Proteína en polvo, creatina, vitamina D/B12, omega-3, cafeína y seguridad.
