recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
TO_R0001;TO_P001;TO_T001;TO_TA001;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0002;TO_P001;TO_T001;TO_TA002;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0003;TO_P001;TO_T001;TO_TA003;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0004;TO_P001;TO_T002;TO_TA004;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0005;TO_P001;TO_T003;TO_TA005;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0006;TO_P001;TO_T003;TO_TA006;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0007;TO_P001;TO_T003;TO_TA007;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0008;TO_P001;TO_T003;TO_TA008;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0009;TO_P001;TO_T003;TO_TA009;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0010;TO_P001;TO_T003;TO_TA010;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0011;TO_P001;TO_T005;TO_TA016;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0012;TO_P001;TO_T005;TO_TA017;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0013;TO_P001;TO_T006;TO_TA018;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0014;TO_P001;TO_T007;TO_TA019;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0015;TO_P001;TO_T029;TO_TA061;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0016;TO_P001;TO_T029;TO_TA062;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0017;TO_P002;TO_T001;TO_TA001;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0018;TO_P002;TO_T001;TO_TA002;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0019;TO_P002;TO_T001;TO_TA003;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0020;TO_P002;TO_T002;TO_TA004;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0021;TO_P002;TO_T003;TO_TA005;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0022;TO_P002;TO_T003;TO_TA006;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0023;TO_P002;TO_T003;TO_TA007;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0024;TO_P002;TO_T003;TO_TA008;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0025;TO_P002;TO_T003;TO_TA009;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0026;TO_P002;TO_T003;TO_TA010;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0027;TO_P002;TO_T005;TO_TA016;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0028;TO_P002;TO_T005;TO_TA017;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0029;TO_P002;TO_T006;TO_TA018;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0030;TO_P002;TO_T007;TO_TA019;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0031;TO_P002;TO_T029;TO_TA061;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0032;TO_P002;TO_T029;TO_TA062;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0033;TO_P003;TO_T001;TO_TA001;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0034;TO_P003;TO_T001;TO_TA002;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0035;TO_P003;TO_T001;TO_TA003;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0036;TO_P003;TO_T002;TO_TA004;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0037;TO_P003;TO_T003;TO_TA005;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0038;TO_P003;TO_T003;TO_TA006;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0039;TO_P003;TO_T003;TO_TA007;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0040;TO_P003;TO_T003;TO_TA008;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0041;TO_P003;TO_T003;TO_TA009;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0042;TO_P003;TO_T003;TO_TA010;alta;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
TO_R0043;TO_P003;TO_T005;TO_TA016;media;El terapeuta ocupacional debe adaptar la actividad a evaluación, contexto, seguridad, entorno, preferencias y objetivos funcionales.
