tecnica_id;nombre;descripcion;nivel_riesgo
OST_T001;Valoración osteopática funcional;Historia, observación, movilidad, dolor, función, objetivos y cribado de signos de alarma.;medio
OST_T002;Educación terapéutica;Información sobre dolor, movilidad, carga, autocuidado y expectativas realistas.;bajo
OST_T003;Movilización articular;Técnicas de movilidad articular adaptadas al caso y tolerancia.;medio
OST_T004;Manipulación / técnica de alta velocidad;Técnica manual específica cuando el profesional la considera indicada y segura.;alto
OST_T005;Técnicas miofasciales;Trabajo manual sobre tejidos blandos, tensión y movilidad percibida.;medio
OST_T006;Técnicas de energía muscular;Contracciones activas guiadas para movilidad y control.;medio
OST_T007;Ejercicio domiciliario;Ejercicios prescritos para movilidad, fuerza, control y mantenimiento.;bajo
OST_T008;Movilidad activa;Rutinas de movimiento activo adaptadas a región y objetivo.;bajo
OST_T009;Control de carga;Ajuste de actividad, reposo relativo, progresión y respuesta 24h.;medio
OST_T010;Educación postural flexible;Pautas de ergonomía y variabilidad postural sin fomentar miedo al movimiento.;bajo
OST_T011;Respiración funcional;Ejercicios respiratorios básicos y conciencia torácica/diafragmática.;bajo
OST_T012;Autogestión del dolor;Plan ante brotes, señales, dosificación y continuidad de actividad segura.;bajo
OST_T013;Prevención y mantenimiento;Rutina mínima para mantener mejoras y prevenir recaídas.;bajo
OST_T014;Coordinación / derivación;Detección de banderas rojas y derivación médica/fisioterapia/logopedia si procede.;alto
