fuente_id;organismo;titulo;url;notas
NUT_SRC001;Academy of Nutrition and Dietetics;Evidence-Based Nutrition Practice Guidelines;https://www.eatrightpro.org/practice/guidelines-and-positions/evidence-based-nutrition-practice-guidelines;"Guías de práctica nutricional basadas en evidencia; recomendaciones, algoritmos y fuerza de evidencia."
NUT_SRC002;AND Evidence Analysis Library;Nutrition Guidelines List;https://www.andeal.org/category.cfm?cid=14;Lista de guías nutricionales con resúmenes públicos de recomendaciones.
NUT_SRC003;NICE;Type 2 diabetes in adults: dietary advice and interventions;https://www.nice.org.uk/guidance/ng28/chapter/Dietary-advice-and-interventions;Recomendaciones NICE sobre diabetes tipo 2, educación, intervención dietética y bienestar.
NUT_SRC004;British Dietetic Association;National practice guidelines;https://www.bda.uk.com/practice-and-education/research-and-impact/practice-guidelines.html;Guías dietéticas basadas en revisión sistemática para apoyar decisiones clínicas.
NUT_SRC005;British Dietetic Association;Diabetes Type 2 food fact sheet;https://www.bda.uk.com/resource/diabetes-type-2.html;"Material dietético para diabetes tipo 2; patrones mediterráneos y alimentación saludable."
NUT_SRC006;Diabetes UK;I have type 2 diabetes – what can I eat?;https://www.diabetes.org.uk/living-with-diabetes/eating/i-have-type-2-diabetes;"Consejos divulgativos sobre alimentación para diabetes tipo 2; no hay dieta única para todos."
NUT_SRC007;American Diabetes Association;Eating well & managing diabetes;https://diabetes.org/food-nutrition/eating-healthy;Método del plato y pautas prácticas de alimentación en diabetes.
NUT_SRC008;ESPEN;Clinical nutrition and hydration in geriatrics;https://www.espen.org/files/ESPEN-Guidelines/ESPEN_practical_guideline_Clinical_nutrition_and_hydration_in_geriatrics.pdf;Guía práctica sobre nutrición e hidratación en personas mayores, malnutrición, hidratación y obesidad.
NUT_SRC009;NCBI Endotext;Dietary Advice For Individuals with Diabetes;https://www.ncbi.nlm.nih.gov/books/NBK279012/;Resumen actualizado de recomendaciones dietéticas para diabetes y cambio de estilo de vida individualizado.
NUT_SRC010;NICE;Obesity identification, assessment and management;https://www.nice.org.uk/guidance/cg189;Referencia general para identificación, evaluación y gestión del sobrepeso/obesidad.
