AREA;PROBLEMA_OBJETIVO;DESCRIPCION_PROBLEMA;POBLACION;TIPO_INTERVENCION_PROBLEMA;RIESGO_PROBLEMA;FUENTE_IDS;TECNICA_METODO;DESCRIPCION_TECNICA;RIESGO_TECNICA;TIPO_INTERVENCION_TECNICA;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;TIPO_INTERVENCION_TAREA;PRIORIDAD;NOTA_PROFESIONAL
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Entrevista inicial fitness;Recoger objetivo, historial, nivel, disponibilidad, material, preferencias, limitaciones y señales de derivación.;bajo;evaluación;Ficha inicial fitness;Registrar objetivo, nivel, historial, material, tiempo, preferencias y señales de derivación.;Personalizar el plan.;bajo;15-30 min;evaluación;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Objetivos SMART fitness;Convertir metas genéricas en objetivos específicos, medibles y revisables.;bajo;planificación;Objetivo SMART semanal;Definir objetivo concreto con indicador y fecha de revisión.;Clarificar dirección y medir progreso.;bajo;10 min semanal;planificación;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Programación semanal multicomponente;Combinar fuerza, cardio, movilidad, descanso y actividad diaria.;bajo;programación;Plan semanal fuerza-cardio-movilidad;Programar días de fuerza, cardio, movilidad y descanso.;Crear estructura equilibrada.;bajo;15 min semanal;programación;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Calentamiento RAMP;Elevar temperatura, activar, movilizar y potenciar antes de entrenar.;bajo;preparación;Calentamiento RAMP;Realizar 5-10 min de elevar, activar, movilizar y preparar patrón.;Preparar sesión.;bajo;cada sesión;preparación;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Calentamiento RAMP;Elevar temperatura, activar, movilizar y potenciar antes de entrenar.;bajo;preparación;Plan de calentamiento específico;Elegir movilidad y series de aproximación según ejercicio principal.;Preparar básicos.;bajo;cada sesión;preparación;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";NEAT y pasos diarios;Aumentar movimiento cotidiano y reducir sedentarismo.;bajo;hábitos;Meta de pasos diarios;Definir meta realista de pasos y revisar media semanal.;Aumentar NEAT.;bajo;diario;hábitos;alta;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";NEAT y pasos diarios;Aumentar movimiento cotidiano y reducir sedentarismo.;bajo;hábitos;Pausas activas;Levantarme y moverme 2-5 minutos cada cierto tiempo.;Reducir sedentarismo.;bajo;diario;hábitos;alta;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";NEAT y pasos diarios;Aumentar movimiento cotidiano y reducir sedentarismo.;bajo;hábitos;Reto de pasos progresivo;Subir 500-1000 pasos/día cada 1-2 semanas según tolerancia.;Aumentar gasto y salud.;bajo;semanal;hábitos;alta;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";NEAT y pasos diarios;Aumentar movimiento cotidiano y reducir sedentarismo.;bajo;hábitos;Plan de salida de sedentarismo;Añadir caminatas cortas, pausas activas y fuerza básica gradual.;Reducir sedentarismo.;bajo;2-4 semanas;hábitos;alta;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
Condición física general;Mejorar condición física general;Objetivo global de aumentar energía, resistencia, fuerza básica y bienestar.;general;entrenamiento;bajo;"FIT2_SRC001;FIT2_SRC002;FIT2_SRC003";Cardio zona 2;Trabajo aeróbico moderado y sostenible.;bajo;cardio;Cardio zona 2;Realizar cardio conversacional 20-40 minutos.;Mejorar base aeróbica.;bajo;2-4 días/semana;cardio;media;Adaptar carga, volumen, frecuencia, rango, descansos y tareas al nivel, historial, molestias, material, preferencias y disponibilidad. No sustituye valoración médica/fisioterapéutica si hay dolor, lesión o señales de alarma.
