fuente_id;organismo;titulo;url;notas
PSP2_SRC001;NICE;Attention deficit hyperactivity disorder: diagnosis and management NG87;https://www.nice.org.uk/guidance/ng87;Referencia para TDAH, manejo y coordinación educativa/sanitaria.
PSP2_SRC002;NICE;Autism spectrum disorder in under 19s CG170;https://www.nice.org.uk/guidance/cg170;Referencia para TEA en infancia y adolescencia.
PSP2_SRC003;CDC;About Autism Spectrum Disorder;https://www.cdc.gov/autism/about/index.html;Información general sobre TEA, comunicación social, intereses restringidos y conductas repetitivas.
PSP2_SRC004;CDC;About ADHD;https://www.cdc.gov/adhd/about/index.html;Información general sobre TDAH: atención, impulsividad e hiperactividad.
PSP2_SRC005;IES / What Works Clearinghouse;Practice Guides;https://ies.ed.gov/ncee/wwc/PracticeGuides;Guías basadas en evidencia sobre lectura, escritura, matemáticas, conducta y aprendizaje.
PSP2_SRC006;Education Endowment Foundation;Special Educational Needs in Mainstream Schools;https://educationendowmentfoundation.org.uk/education-evidence/guidance-reports/send;Orientaciones educativas sobre necesidades específicas de apoyo.
PSP2_SRC007;CAST;Universal Design for Learning Guidelines;https://udlguidelines.cast.org/;Diseño universal para el aprendizaje y adaptación de acceso, expresión y participación.
PSP2_SRC008;International Dyslexia Association;Dyslexia Basics;https://dyslexiaida.org/dyslexia-basics/;Referencia divulgativa sobre dislexia, lectura y apoyos.
PSP2_SRC009;Understood;Learning and thinking differences;https://www.understood.org/;Recursos sobre TDAH, dislexia, discalculia, funciones ejecutivas y familia/escuela.
PSP2_SRC010;Reading Rockets;Reading and learning difficulties;https://www.readingrockets.org/;Recursos de lectura, fluidez, comprensión y dificultades de aprendizaje.
PSP2_SRC011;NCTM;Mathematics Teaching and Learning;https://www.nctm.org/;Referencia para aprendizaje matemático y desarrollo del sentido numérico.
PSP2_SRC012;APA Dictionary;Psychology and education terms;https://dictionary.apa.org/;Referencia terminológica general.
PSP2_SRC013;CDE / Twice-Exceptional;Twice-exceptional learners resources;https://www.cde.ca.gov/sp/se/ac/2e.asp;Referencia para alumnado doblemente excepcional y altas capacidades con necesidades coexistentes.
PSP2_SRC014;National Association for Gifted Children;Gifted education resources;https://nagc.org/;Referencia sobre altas capacidades, enriquecimiento y necesidades socioeducativas.
