AREA;PROBLEMA_OBJETIVO;ALIAS;RIESGO_PROBLEMA;TECNICA_METODO;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO;RIESGO_TAREA;DURACION;PRIORIDAD;FUENTE_IDS;NOTA_PROFESIONAL
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Evaluación psicopedagógica inicial;Entrevista inicial familia/alumno;Recoger demanda, historia escolar, fortalezas, dificultades y objetivos.;Definir caso y prioridades.;bajo;30-45 min;alta;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Evaluación psicopedagógica inicial;Registro semanal de tareas escolares;Anotar deberes, entregas, tiempo invertido, ayuda y dificultades.;Detectar patrón académico.;bajo;7 días;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Evaluación psicopedagógica inicial;Muestra de lectura/escritura/cálculo;Recoger muestra breve de rendimiento en área objetivo.;Observar errores funcionales.;medio;15-20 min;alta;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Análisis de tarea académica;Descomponer una tarea difícil;Separar una tarea escolar en pasos y demandas.;Reducir bloqueo y planificar apoyos.;bajo;15 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Instrucción explícita;Modelado del primer ejercicio;El profesional resuelve un ejemplo verbalizando pasos y decisiones.;Aprender procedimiento.;bajo;10 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Práctica guiada y feedback;Corrección con feedback específico;Revisar error indicando qué cambiar y cómo intentarlo de nuevo.;Mejorar aprendizaje por error.;bajo;10 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Conciencia fonológica;Ejercicios de rimas;Identificar y crear palabras que riman.;Mejorar conciencia fonológica.;bajo;10 min/día;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Conciencia fonológica;Segmentación silábica/fonémica;Separar palabras en sílabas o sonidos con apoyo visual.;Mejorar base lectora.;bajo;10 min/día;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Conciencia fonológica;Mezcla de sonidos;Unir sonidos o sílabas para formar palabras.;Apoyar decodificación.;bajo;10 min/día;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Decodificación y fluidez lectora;Lectura repetida breve;Leer el mismo texto 2-3 veces registrando precisión y comodidad.;Mejorar fluidez.;bajo;10 min/día;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Decodificación y fluidez lectora;Lista de palabras objetivo;Practicar palabras frecuentes o con patrón trabajado.;Automatizar lectura.;bajo;10 min/día;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Decodificación y fluidez lectora;Lectura cronometrada amable;Medir avance sin presión, comparando progreso propio.;Mejorar fluidez y motivación.;bajo;5-10 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Decodificación y fluidez lectora;Plan de lectura en casa;10 minutos de lectura adaptada con pauta específica.;Consolidar intervención lectora.;bajo;diario;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Coordinación familia-escuela;Hoja de pautas para familia;Redactar 3 pautas concretas para apoyar sin sobreayudar.;Generalizar intervención.;bajo;15 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Coordinación familia-escuela;Coordinación con tutor/profesor;Preparar resumen de necesidades, objetivos y apoyos.;Alinear contextos.;medio;20 min;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
Lectura inicial y decodificación;Dificultad en conciencia fonológica;Conciencia de sonidos;medio;Seguimiento de progreso;Gráfica de progreso;Registrar resultados breves por semana y mostrar tendencia.;Visualizar evolución.;bajo;semanal;media;PSP_SRC003;El profesional debe adaptar la pauta a edad, curso, evaluación, contexto familiar/escolar, idioma, necesidades y límites competenciales.
