recomendacion_id;problema_id;tecnica_id;tarea_id;prioridad;nota_profesional
OPO_R0001;OPO_P001;OPO_T001;OPO_TA001;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0002;OPO_P001;OPO_T001;OPO_TA002;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0003;OPO_P001;OPO_T001;OPO_TA003;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0004;OPO_P001;OPO_T002;OPO_TA004;alta;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0005;OPO_P001;OPO_T002;OPO_TA005;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0006;OPO_P001;OPO_T003;OPO_TA006;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0007;OPO_P001;OPO_T003;OPO_TA007;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0008;OPO_P001;OPO_T004;OPO_TA008;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0009;OPO_P001;OPO_T004;OPO_TA009;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0010;OPO_P001;OPO_T020;OPO_TA039;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0011;OPO_P001;OPO_T025;OPO_TA037;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0012;OPO_P001;OPO_T025;OPO_TA048;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0013;OPO_P002;OPO_T001;OPO_TA001;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0014;OPO_P002;OPO_T001;OPO_TA002;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0015;OPO_P002;OPO_T001;OPO_TA003;media;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
OPO_R0016;OPO_P002;OPO_T002;OPO_TA004;alta;El preparador debe adaptar la pauta a oposición, convocatoria, formato de examen, nivel real, disponibilidad y estado del alumno.
