tarea_id;titulo;descripcion;objetivo;nivel_riesgo;duracion_estimada;tecnica_id
FIS_TA001;Completar valoración funcional inicial;Registrar dolor, limitaciones, objetivos, actividad, antecedentes y señales de alarma.;Definir punto de partida y seguridad.;medio;30-45 min;FIS_T001
FIS_TA002;Escala dolor-función semanal;Registrar dolor 0-10, actividad realizada y función percibida.;Monitorizar evolución sin depender solo del dolor.;bajo;7 días;FIS_T001
FIS_TA003;Identificar objetivos funcionales;Elegir 2-3 actividades concretas que el paciente quiere recuperar.;Orientar tratamiento a función real.;bajo;15 min;FIS_T001
FIS_TA004;Leer ficha de educación sobre dolor/carga;Revisar material breve sobre dolor, tejido, carga y pronóstico.;Reducir miedo y mejorar adherencia.;bajo;10-20 min;FIS_T002
FIS_TA005;Mantener actividad tolerable;Elegir actividad diaria segura y mantenerla dentro de tolerancia acordada.;Evitar reposo excesivo y pérdida funcional.;bajo;7 días;FIS_T002
FIS_TA006;Movilidad lumbar/cervical suave;Realizar movilidad activa suave indicada por el fisioterapeuta.;Mejorar movimiento y confianza.;bajo;5-10 min/día;FIS_T004
FIS_TA007;Movilidad hombro/rodilla/cadera;Realizar ejercicios activos de rango articular según región afectada.;Mantener o mejorar movilidad.;bajo;5-10 min/día;FIS_T004
FIS_TA008;Ejercicio isométrico inicial;Realizar contracciones isométricas indicadas en rango tolerado.;Iniciar carga con control de síntomas.;medio;3-5 días/semana;FIS_T005
FIS_TA009;Fortalecimiento progresivo básico;Realizar serie/repeticiones pautadas con progresión semanal.;Mejorar capacidad de carga.;medio;2-4 días/semana;FIS_T005
FIS_TA010;Sentarse-levantarse controlado;Practicar sit-to-stand con técnica y dosis acordadas.;Mejorar fuerza funcional.;medio;3 días/semana;FIS_T008
FIS_TA011;Equilibrio unipodal asistido;Practicar apoyo a una pierna con apoyo cercano si es necesario.;Mejorar equilibrio y propiocepción.;medio;5 min/día;FIS_T007
FIS_TA012;Propiocepción de tobillo;Ejercicios de equilibrio y control en apoyo progresivo.;Reducir inestabilidad y recurrencias.;medio;5-10 min/día;FIS_T007
FIS_TA013;Caminar con progresión;Planificar caminata con duración/intensidad gradual.;Mejorar capacidad funcional y confianza.;bajo;3-5 días/semana;FIS_T011
FIS_TA014;Diario de carga;Registrar actividad, entrenamiento, dolor durante y respuesta 24h.;Ajustar carga y evitar picos.;medio;7-14 días;FIS_T009
FIS_TA015;Regla de respuesta 24 horas;Evaluar si una actividad aumentó síntomas de forma aceptable o excesiva al día siguiente.;Regular progresión.;bajo;7 días;FIS_T009
FIS_TA016;Exposición gradual a movimiento temido;Practicar movimiento evitado en versión más fácil y progresiva.;Reducir miedo y recuperar función.;medio;supervisado/iniciado en consulta;FIS_T010
FIS_TA017;Pacing de actividad;Alternar actividad y descanso planificado para evitar picos y valles.;Mejorar tolerancia en dolor persistente.;bajo;7 días;FIS_T014
FIS_TA018;Plan de autocuidado ante brote;Definir acciones en brote: mantener movimiento tolerable, calor/frío si procede, reducir carga temporal.;Mejorar autogestión.;bajo;20 min;FIS_T014
FIS_TA019;Estiramiento indicado;Realizar estiramiento específico si está indicado y es tolerado.;Mejorar flexibilidad/tolerancia.;bajo;5-10 min/día;FIS_T012
FIS_TA020;Pausa activa laboral;Programar pausas de movimiento durante jornada sedentaria.;Reducir rigidez y mejorar tolerancia.;bajo;2-5 min varias veces/día;FIS_T017
FIS_TA021;Ergonomía flexible;Ajustar puesto/tarea y variar posturas sin buscar postura perfecta.;Reducir carga mantenida.;bajo;20 min;FIS_T017
FIS_TA022;Criterios de retorno deportivo;Revisar dolor, fuerza, movilidad, confianza y tareas específicas antes de progresar.;Aumentar seguridad en retorno.;medio;supervisado;FIS_T016
FIS_TA023;Progresión carrera-salto;Realizar progresión pautada de impacto si procede.;Recuperar tolerancia deportiva.;medio;2-3 días/semana;FIS_T016
FIS_TA024;Checklist de prevención de caídas;Revisar calzado, iluminación, obstáculos, apoyo y confianza.;Reducir riesgo ambiental.;medio;30 min;FIS_T007
FIS_TA025;Ejercicios de fuerza en mayores;Realizar ejercicios básicos de fuerza funcional adaptados.;Mejorar independencia y reducir fragilidad.;medio;2-3 días/semana;FIS_T005
FIS_TA026;Entrenamiento de marcha;Practicar patrón de marcha, cambios de dirección y obstáculos bajos según seguridad.;Mejorar seguridad al caminar.;medio;supervisado/iniciado;FIS_T008
FIS_TA027;Respiración diafragmática funcional;Practicar respiración suave asociada a movilidad o recuperación.;Mejorar control respiratorio y relajación.;bajo;5 min/día;FIS_T002
FIS_TA028;Registro de señales de alarma;Revisar y registrar síntomas que requieren consulta médica urgente o derivación.;Aumentar seguridad clínica.;alto;supervisado;FIS_T018
FIS_TA029;Plan de mantenimiento;Definir rutina mínima semanal tras mejoría.;Prevenir recaídas.;bajo;20-30 min;FIS_T015
FIS_TA030;Revisión de adherencia;Identificar barreras a ejercicios y ajustar dosis/formato.;Mejorar cumplimiento real.;bajo;15 min;FIS_T015
