AREA;PROBLEMA_OBJETIVO;DESCRIPCION_PROBLEMA;POBLACION;TIPO_INTERVENCION_PROBLEMA;RIESGO_PROBLEMA;FUENTE_IDS;TECNICA_METODO;DESCRIPCION_TECNICA;RIESGO_TECNICA;TIPO_INTERVENCION_TECNICA;TAREA_PAUTA;DESCRIPCION_TAREA;OBJETIVO_TAREA;RIESGO_TAREA;DURACION;TIPO_INTERVENCION_TAREA;PRIORIDAD;NOTA_PROFESIONAL
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Psicoeducación sexual basada en evidencia;Explicar sexualidad, respuesta sexual, variabilidad, placer, consentimiento y seguridad sin patologizar.;bajo;educativa;Rueda de salud sexual personal;Completar áreas de bienestar, dudas, límites, valores y objetivos sexuales.;Clarificar demanda y objetivos.;bajo;20-30 min;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Psicoeducación sexual basada en evidencia;Explicar sexualidad, respuesta sexual, variabilidad, placer, consentimiento y seguridad sin patologizar.;bajo;educativa;Lista de dudas para consulta;Anotar dudas de sexualidad, salud, prevención o relación para revisar en sesión.;Facilitar conversación profesional.;bajo;10 min;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Modelo biopsicosocial sexual;Analizar factores físicos, psicológicos, relacionales, culturales y contextuales.;bajo;individual/pareja;Mapa biopsicosocial sexual;Registrar factores físicos, emocionales, relacionales, culturales y contextuales.;Comprender el problema sin reducirlo a una causa única.;bajo;30 min;individual/pareja;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Modelo biopsicosocial sexual;Analizar factores físicos, psicológicos, relacionales, culturales y contextuales.;bajo;individual/pareja;Registro de prácticas de autocuidado sexual;Registrar sueño, estrés, actividad física, consumo, salud y estado emocional.;Detectar factores generales.;bajo;7 días;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Historia sexual clínica estructurada;Recoger motivo, historia, salud, medicación, relación, dolor, seguridad y objetivos.;medio;clínica;Historia sexual segura y gradual;Completar cronología básica de experiencias, aprendizajes, salud y cambios, sin detalles innecesarios.;Organizar información clínica.;medio;sesión;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Educación sexual inclusiva;Información adaptada, respetuosa y no discriminatoria sobre sexualidad y diversidad.;bajo;educativa;Material inclusivo de educación sexual;Seleccionar recursos adaptados a orientación, identidad, cultura y capacidad.;Mejorar información respetuosa.;bajo;variable;educativa;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Prevención sexual y autocuidado;Información sobre pruebas, barreras, anticoncepción, comunicación y reducción de riesgos.;medio;educativa;Plan de prevención y pruebas;Definir pruebas, barreras, comunicación, calendario y recursos sanitarios.;Reducir riesgo y ansiedad.;medio;20 min;educativa;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003";Plan de prevención de recaídas;Detectar señales tempranas, barreras, acuerdos y estrategias de mantenimiento.;bajo;individual/pareja;Plan de mantenimiento;Señales tempranas, estrategias útiles, acuerdos y fecha de revisión.;Prevenir recaídas.;bajo;mensual;individual/pareja;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Dudas sobre prácticas seguras y autocuidado;Necesidad de comprender prevención, pruebas, comunicación y reducción de riesgos sexuales.;adultos/adolescentes;educativa;medio;"SEX_SRC001;SEX_SRC015";Psicoeducación sexual basada en evidencia;Explicar sexualidad, respuesta sexual, variabilidad, placer, consentimiento y seguridad sin patologizar.;bajo;educativa;Rueda de salud sexual personal;Completar áreas de bienestar, dudas, límites, valores y objetivos sexuales.;Clarificar demanda y objetivos.;bajo;20-30 min;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
Salud sexual integral;Dudas sobre prácticas seguras y autocuidado;Necesidad de comprender prevención, pruebas, comunicación y reducción de riesgos sexuales.;adultos/adolescentes;educativa;medio;"SEX_SRC001;SEX_SRC015";Psicoeducación sexual basada en evidencia;Explicar sexualidad, respuesta sexual, variabilidad, placer, consentimiento y seguridad sin patologizar.;bajo;educativa;Lista de dudas para consulta;Anotar dudas de sexualidad, salud, prevención o relación para revisar en sesión.;Facilitar conversación profesional.;bajo;10 min;individual;media;Adaptar a consentimiento, seguridad, cultura, edad, orientación/identidad, salud física y contexto relacional. No aplicar tareas de pareja si existe coerción, violencia, miedo o falta de consentimiento.
