problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
NUT2_P001;NUT2_A001;Mejorar alimentación general;Objetivo de construir un patrón alimentario más equilibrado y sostenible.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010;NUT2_SRC011"
NUT2_P002;NUT2_A001;Bajo consumo de frutas y verduras;Ingesta insuficiente de alimentos vegetales y variedad.;general;educativa;bajo;"NUT2_SRC001;NUT2_SRC010"
NUT2_P003;NUT2_A001;Exceso de ultraprocesados;Consumo frecuente de productos de alta densidad energética, sal, azúcar o grasas de baja calidad.;general;educativa;medio;"NUT2_SRC001;NUT2_SRC011"
NUT2_P004;NUT2_A001;Desconocimiento de raciones;Dificultad para estimar cantidades adecuadas sin pesar todo.;general;educativa;bajo;"NUT2_SRC004;NUT2_SRC010"
NUT2_P005;NUT2_A001;Lectura de etiquetas insuficiente;Dificultad para interpretar calorías, raciones, azúcar, fibra, sal o ingredientes.;general;educativa;bajo;"NUT2_SRC004;NUT2_SRC011"
NUT2_P006;NUT2_A001;Desayunos o cenas desequilibradas;Comidas repetitivas con baja proteína/fibra o exceso de opciones poco saciantes.;general;educativa;bajo;"NUT2_SRC010;NUT2_SRC014"
NUT2_P007;NUT2_A001;Picoteo poco planificado;Ingestas entre comidas por disponibilidad, hambre, aburrimiento o hábito.;general;hábitos;bajo;"NUT2_SRC010;NUT2_SRC012"
NUT2_P008;NUT2_A002;Pérdida de grasa corporal;Objetivo de reducir grasa preservando salud, músculo y adherencia.;adultos;control_peso;medio;"NUT2_SRC003;NUT2_SRC012"
NUT2_P009;NUT2_A002;Sobrepeso con baja adherencia;Dificultad para mantener cambios más allá de pocas semanas.;adultos;control_peso;medio;"NUT2_SRC003;NUT2_SRC009"
NUT2_P010;NUT2_A002;Estancamiento de peso;Peso o medidas sin cambios tras periodo suficiente de seguimiento.;adultos;control_peso;bajo;"NUT2_SRC003;NUT2_SRC012"
NUT2_P011;NUT2_A002;Hambre elevada en déficit;Sensación de hambre persistente que dificulta pérdida de grasa.;adultos;control_peso;medio;"NUT2_SRC012;NUT2_SRC014"
NUT2_P012;NUT2_A002;Baja saciedad en comidas;Comidas poco saciantes por baja proteína, fibra, volumen o estructura.;general;control_peso;bajo;"NUT2_SRC001;NUT2_SRC014"
NUT2_P013;NUT2_A002;Miedo al efecto rebote;Preocupación por recuperar peso tras dieta o intentos previos.;adultos;control_peso;medio;"NUT2_SRC003;NUT2_SRC012"
NUT2_P014;NUT2_A002;Control de cintura abdominal;Necesidad de seguimiento de perímetro abdominal como indicador de adiposidad central.;adultos;seguimiento;medio;NUT2_SRC003
NUT2_P015;NUT2_A003;Ganancia de masa muscular;Objetivo de apoyar hipertrofia con energía, proteína y constancia.;deportistas/general;deportiva;bajo;NUT2_SRC016
NUT2_P016;NUT2_A003;Proteína insuficiente;Ingesta proteica baja para objetivos de fuerza, saciedad o mantenimiento muscular.;general/deportistas;deportiva;bajo;NUT2_SRC016
NUT2_P017;NUT2_A003;Energía insuficiente para entrenar;Entrenamientos con fatiga por baja ingesta, horarios o distribución alimentaria.;deportistas/general;deportiva;medio;"NUT2_SRC016;NUT2_SRC009"
NUT2_P018;NUT2_A003;Recuperación post-entreno mejorable;Dudas sobre comida posterior, proteína, hidratos, hidratación y descanso.;deportistas/general;deportiva;bajo;NUT2_SRC016
NUT2_P019;NUT2_A003;Dudas sobre suplementos deportivos;Interés en proteína, creatina, cafeína u otros suplementos con seguridad.;deportistas/general;deportiva;medio;NUT2_SRC016
NUT2_P020;NUT2_A003;Nutrición para resistencia/cardio;Necesidad de adaptar energía e hidratación a sesiones largas o frecuentes.;deportistas;deportiva;medio;NUT2_SRC016
NUT2_P021;NUT2_A004;Recomposición corporal;Reducir grasa y mantener/ganar músculo simultáneamente.;adultos/deportistas;composición_corporal;medio;"NUT2_SRC016;NUT2_SRC003"
NUT2_P022;NUT2_A004;Ganar músculo sin subir demasiada grasa;Controlar superávit, proteína y seguimiento de medidas.;adultos/deportistas;composición_corporal;bajo;NUT2_SRC016
NUT2_P023;NUT2_A004;Definición muscular;Reducir grasa preservando rendimiento y masa muscular.;adultos/deportistas;composición_corporal;medio;"NUT2_SRC016;NUT2_SRC003"
NUT2_P024;NUT2_A004;Seguimiento de composición corporal;Uso de peso, perímetros, fotos y rendimiento sin obsesión.;adultos;seguimiento;bajo;"NUT2_SRC003;NUT2_SRC012"
NUT2_P025;NUT2_A005;Prediabetes / riesgo de diabetes tipo 2;Necesidad de hábitos alimentarios y actividad para reducir riesgo metabólico.;adultos;metabólica;alto;"NUT2_SRC007;NUT2_SRC008"
NUT2_P026;NUT2_A005;Diabetes tipo 2 - educación alimentaria;Apoyo no médico para alimentación equilibrada coordinada con equipo sanitario.;adultos;metabólica;alto;"NUT2_SRC006;NUT2_SRC008"
NUT2_P027;NUT2_A005;Resistencia a la insulina referida;Objetivo de mejorar hábitos, peso si procede y calidad alimentaria.;adultos;metabólica;alto;"NUT2_SRC007;NUT2_SRC008"
NUT2_P028;NUT2_A005;Triglicéridos elevados referidos;Necesidad de orientación alimentaria y derivación/coordinación sanitaria.;adultos;metabólica;alto;"NUT2_SRC013;NUT2_SRC014"
NUT2_P029;NUT2_A005;Bebidas azucaradas frecuentes;Consumo habitual de refrescos, zumos o bebidas con azúcar.;general;metabólica;medio;"NUT2_SRC001;NUT2_SRC007"
NUT2_P030;NUT2_A005;Hidratos de baja calidad predominantes;Predominio de harinas refinadas/dulces y baja fibra.;general;metabólica;medio;"NUT2_SRC001;NUT2_SRC007"
NUT2_P031;NUT2_A006;Colesterol LDL elevado referido;Necesidad de orientación sobre grasas, fibra y patrón alimentario, coordinada con médico.;adultos;cardiovascular;alto;"NUT2_SRC013;NUT2_SRC014"
NUT2_P032;NUT2_A006;Hipertensión referida;Necesidad de reducir sal, mejorar patrón dietético y coordinar con sanitario.;adultos;cardiovascular;alto;"NUT2_SRC001;NUT2_SRC013"
NUT2_P033;NUT2_A006;Consumo elevado de sal;Uso frecuente de sal, productos salados o comidas preparadas.;general;cardiovascular;medio;"NUT2_SRC001;NUT2_SRC011"
NUT2_P034;NUT2_A006;Baja ingesta de fibra;Consumo bajo de legumbres, frutas, verduras, cereales integrales o frutos secos.;general;cardiovascular/digestiva;bajo;"NUT2_SRC001;NUT2_SRC013"
NUT2_P035;NUT2_A006;Grasas saturadas elevadas;Patrón con exceso de carnes procesadas, bollería, fritos o lácteos grasos.;general;cardiovascular;medio;"NUT2_SRC001;NUT2_SRC013"
NUT2_P036;NUT2_A006;Patrón mediterráneo mejorable;Necesidad de reforzar aceite de oliva, legumbres, pescado, vegetales y alimentos frescos.;adultos;cardiovascular;bajo;"NUT2_SRC013;NUT2_SRC014"
NUT2_P037;NUT2_A007;Síntomas digestivos inespecíficos;Hinchazón, gases o molestias que requieren registro y posible derivación.;adultos;digestiva;medio;"NUT2_SRC014;NUT2_SRC017"
NUT2_P038;NUT2_A007;Estreñimiento funcional leve;Baja frecuencia o dificultad evacuatoria sin señales de alarma.;adultos;digestiva;medio;"NUT2_SRC014;NUT2_SRC011"
