area_id;nombre;descripcion
A001;Ansiedad;Problemas relacionados con miedo, preocupación, evitación, activación fisiológica y anticipación de amenaza.
A002;Estado de ánimo;Problemas relacionados con tristeza persistente, pérdida de interés, apatía, anhedonia y desesperanza.
A003;Trauma y estrés;Problemas asociados a acontecimientos traumáticos, estrés intenso, hiperactivación o evitación.
A004;Sueño;Problemas de conciliación, mantenimiento, calidad o hábitos de sueño.
A005;Relaciones y vínculos;Dificultades afectivas, dependencia, ruptura, celos, límites y patrones relacionales.
A006;Autoestima e identidad;Autocrítica, inseguridad, autoconcepto negativo y dificultades de autoaceptación.
A007;Regulación emocional;Dificultades para identificar, modular o expresar emociones.
A008;Neurodesarrollo y organización;Dificultades atencionales, impulsividad, organización, planificación y funcionamiento ejecutivo.
A009;Conducta y hábitos;Procrastinación, hábitos desadaptativos, impulsividad cotidiana y dificultades de adherencia.
A010;Somatización y salud;Preocupaciones por síntomas corporales, salud, enfermedad y manejo psicológico de síntomas.
