problema_id;area_id;nombre;descripcion;poblacion;tipo_intervencion;nivel_riesgo;fuente_ids
SEX_P001;SEX_A001;Consulta de educación sexual general;Necesidad de información fiable y personalizada sobre sexualidad, respuesta sexual, placer, autocuidado y seguridad.;adultos/adolescentes;educativa;bajo;"SEX_SRC001;SEX_SRC002;SEX_SRC003"
SEX_P002;SEX_A001;Dudas sobre prácticas seguras y autocuidado;Necesidad de comprender prevención, pruebas, comunicación y reducción de riesgos sexuales.;adultos/adolescentes;educativa;medio;"SEX_SRC001;SEX_SRC015"
SEX_P003;SEX_A001;Dificultad para hablar de sexualidad en consulta;Vergüenza, bloqueo o evitación al expresar dudas sexuales al profesional o pareja.;adultos;individual;bajo;"SEX_SRC010;SEX_SRC012"
SEX_P004;SEX_A001;Desconocimiento de la respuesta sexual;Falta de comprensión del ciclo de respuesta sexual, variabilidad y factores emocionales/físicos.;adultos;educativa;bajo;"SEX_SRC010;SEX_SRC013"
SEX_P005;SEX_A002;Deseo sexual bajo situacional;Disminución de deseo asociada a contexto, estrés, relación, rutina o cambios vitales.;adultos;individual/pareja;medio;"SEX_SRC009;SEX_SRC010;SEX_SRC013"
SEX_P006;SEX_A002;Discrepancia de deseo en pareja;Diferencia significativa de deseo entre miembros de la pareja que genera tensión o evitación.;adultos;pareja;medio;"SEX_SRC010;SEX_SRC012"
SEX_P007;SEX_A002;Deseo bajo con malestar personal;Deseo reducido que genera sufrimiento, preocupación o sensación de pérdida de identidad sexual.;adultos;individual;medio;"SEX_SRC009;SEX_SRC017"
SEX_P008;SEX_A002;Deseo inhibido por ansiedad o presión;La expectativa de rendir o cumplir reduce espontaneidad, interés y acercamiento.;adultos;individual/pareja;medio;"SEX_SRC004;SEX_SRC014"
SEX_P009;SEX_A002;Pérdida de deseo tras conflicto relacional;Descenso del deseo vinculado a resentimiento, distancia emocional o conflictos no resueltos.;adultos;pareja;medio;"SEX_SRC010;SEX_SRC012"
SEX_P010;SEX_A003;Dificultad de excitación subjetiva;La persona refiere baja activación, conexión erótica o interés durante encuentros.;adultos;individual/pareja;medio;"SEX_SRC010;SEX_SRC017"
