problema_id;tecnica_id
LOG_P001;LOG_T001
LOG_P001;LOG_T002
LOG_P001;LOG_T003
LOG_P001;LOG_T015
LOG_P001;LOG_T016
LOG_P002;LOG_T001
LOG_P002;LOG_T002
LOG_P002;LOG_T003
LOG_P002;LOG_T004
LOG_P002;LOG_T015
LOG_P002;LOG_T016
LOG_P003;LOG_T001
LOG_P003;LOG_T002
LOG_P003;LOG_T006
LOG_P003;LOG_T013
LOG_P003;LOG_T015
LOG_P003;LOG_T016
LOG_P004;LOG_T001
LOG_P004;LOG_T004
LOG_P004;LOG_T005
LOG_P004;LOG_T015
LOG_P004;LOG_T016
LOG_P005;LOG_T001
LOG_P005;LOG_T004
LOG_P005;LOG_T005
LOG_P005;LOG_T011
LOG_P005;LOG_T012
LOG_P005;LOG_T015
LOG_P005;LOG_T016
LOG_P006;LOG_T001
LOG_P006;LOG_T006
LOG_P006;LOG_T015
LOG_P006;LOG_T016
LOG_P007;LOG_T001
LOG_P007;LOG_T007
LOG_P007;LOG_T008
LOG_P007;LOG_T015
LOG_P007;LOG_T016
LOG_P008;LOG_T001
LOG_P008;LOG_T007
LOG_P008;LOG_T008
LOG_P008;LOG_T015
LOG_P008;LOG_T016
LOG_P009;LOG_T001
LOG_P009;LOG_T009
LOG_P009;LOG_T010
LOG_P009;LOG_T015
LOG_P009;LOG_T016
LOG_P010;LOG_T001
LOG_P010;LOG_T009
LOG_P010;LOG_T015
LOG_P010;LOG_T016
LOG_P011;LOG_T001
LOG_P011;LOG_T003
LOG_P011;LOG_T011
LOG_P011;LOG_T015
LOG_P012;LOG_T001
LOG_P012;LOG_T011
LOG_P012;LOG_T012
LOG_P012;LOG_T015
LOG_P012;LOG_T016
LOG_P013;LOG_T001
LOG_P013;LOG_T004
LOG_P013;LOG_T013
LOG_P013;LOG_T014
LOG_P013;LOG_T015
LOG_P013;LOG_T016
LOG_P014;LOG_T001
LOG_P014;LOG_T013
LOG_P014;LOG_T014
LOG_P014;LOG_T015
LOG_P014;LOG_T016
LOG_P015;LOG_T001
LOG_P015;LOG_T014
LOG_P015;LOG_T015
LOG_P015;LOG_T016
